,dmi_length,Returns%,MaxR
0,9,150.46440454868613,MR
1,10,136.6480886768135,
2,11,114.93118389187867,
3,12,107.50727856350446,
4,13,90.19277598848558,
5,14,87.83299131218479,
6,15,78.1664937503648,
7,16,83.25581505556255,
8,17,73.53720441322434,
9,18,71.50676827958134,
