,Date,Close,sma
0,2014-09-29,7958.899901999999,
1,2014-09-30,7964.799805,
2,2014-10-01,7945.549805,
3,2014-10-07,7852.399901999999,
4,2014-10-08,7842.700195,
5,2014-10-09,7960.549805,
6,2014-10-10,7859.950195,
7,2014-10-13,7884.25,
8,2014-10-14,7864.0,7903.677734333333
10,2014-10-16,7748.200195,7880.266655777777
11,2014-10-17,7779.700195,7859.7000324444425
12,2014-10-20,7879.399901999999,7852.350043222221
13,2014-10-21,7927.75,7860.722276333331
14,2014-10-22,7995.899901999999,7877.744465999999
15,2014-10-27,7991.700195,7881.2056204444425
16,2014-10-28,8027.600098000001,7899.833387444442
17,2014-10-29,8090.450195,7922.74452022222
18,2014-10-30,8169.200195,7956.655652999998
19,2014-10-31,8322.200195,8020.433430777775
20,2014-11-03,8324.150391,8080.927896999998
21,2014-11-05,8338.299805,8131.916775111109
22,2014-11-07,8337.0,8177.388997333332
23,2014-11-10,8344.25,8216.094563777775
24,2014-11-11,8362.650391,8257.31125222222
25,2014-11-12,8383.299805,8296.833441888888
26,2014-11-13,8357.849609,8326.544487888888
27,2014-11-14,8389.900391,8351.066731888888
28,2014-11-17,8430.75,8363.127821333333
29,2014-11-18,8425.900391,8374.433376888888
30,2014-11-19,8382.299805,8379.322265777777
31,2014-11-20,8401.900391,8386.533420333333
32,2014-11-21,8477.349609,8401.322265777777
33,2014-11-24,8530.150391,8419.933376888888
34,2014-11-25,8463.099609,8428.800021777777
35,2014-11-26,8475.75,8441.900065222222
36,2014-11-27,8494.200195,8453.488932333332
37,2014-11-28,8588.25,8470.988932333332
38,2014-12-01,8555.900391,8485.433376777777
39,2014-12-02,8524.700195,8501.255642333332
40,2014-12-03,8537.650391,8516.338975666666
41,2014-12-04,8564.400391,8526.011284777776
42,2014-12-05,8538.299805,8526.91677522222
43,2014-12-08,8438.25,8524.155707555554
44,2014-12-09,8340.700195,8509.150173666665
45,2014-12-10,8355.650391,8493.755750999999
46,2014-12-11,8292.900391,8460.939127777778
47,2014-12-12,8224.099609,8424.072374222222
48,2014-12-15,8219.599609,8390.17230911111
49,2014-12-16,8067.600098000001,8337.944498777775
50,2014-12-17,8029.799805,8278.544433666664
51,2014-12-18,8159.299805,8236.433322555553
52,2014-12-19,8225.200195,8212.761121999998
53,2014-12-22,8324.0,8210.905544777776
54,2014-12-23,8267.0,8201.05550133333
55,2014-12-24,8174.100098000001,8187.855468777775
56,2014-12-26,8200.700195,8185.255533888886
57,2014-12-29,8246.299805,8188.222222333331
58,2014-12-30,8248.25,8208.294433666664
59,2014-12-31,8282.700195,8236.394476999998
61,2015-01-02,8395.450195,8262.633409222219
62,2015-01-05,8378.400391,8279.65565322222
63,2015-01-06,8127.350098000001,8257.805664111109
64,2015-01-07,8102.100098000001,8239.483452777775
65,2015-01-08,8234.599609,8246.205620666664
66,2015-01-09,8284.5,8255.516710111107
67,2015-01-12,8323.0,8264.038953999996
68,2015-01-13,8299.400391,8269.722330777775
69,2015-01-14,8277.549805,8269.15006522222
70,2015-01-15,8494.150391,8280.116753666665
71,2015-01-16,8513.799805,8295.161132999998
72,2015-01-19,8550.700195,8342.200032666666
73,2015-01-20,8695.599609,8408.144422777776
74,2015-01-21,8729.5,8463.13335511111
75,2015-01-22,8761.400391,8516.122287444443
76,2015-01-23,8835.599609,8573.077799555555
77,2015-01-27,8910.5,8640.97775611111
78,2015-01-28,8914.299805,8711.72775611111
79,2015-01-29,8952.349609,8762.638780333331
80,2015-01-30,8808.900391,8795.42773433333
81,2015-02-02,8797.400391,8822.83886722222
82,2015-02-03,8756.549805,8829.61111122222
83,2015-02-04,8723.700195,8828.966688444443
84,2015-02-05,8711.700195,8823.444444444443
85,2015-02-06,8661.049805,8804.050021777777
86,2015-02-09,8526.349609,8761.366644999998
87,2015-02-10,8565.549805,8722.616644999998
88,2015-02-11,8627.400391,8686.511176333333
89,2015-02-12,8711.549805,8675.694444555555
90,2015-02-13,8805.5,8676.59440111111
91,2015-02-16,8809.349609,8682.461045999999
92,2015-02-18,8869.099609,8698.616536444442
93,2015-02-19,8895.299805,8719.01649311111
94,2015-02-20,8833.599609,8738.188693555554
95,2015-02-23,8754.950195,8763.588758666665
96,2015-02-24,8762.099609,8785.427625777775
