,dc_length,Returns%,MaxR
0,5,413.2578764107044,MR
1,6,324.3366700723043,
2,7,218.12428135581564,
3,8,189.0300661322151,
4,9,162.12810165053475,
5,10,149.61626937549153,
6,11,126.48091934792504,
7,12,120.35326674661044,
8,13,88.864535869798,
9,14,88.62768616686941,
