,kc_length,Returns%,MaxR
0,1,0,
1,2,62.2665687024263,
2,3,133.2058515595552,
3,4,196.49976616887403,
4,5,209.13419233440567,MR
5,6,191.86734609778927,
6,7,172.1157351918966,
7,8,159.08888794403697,
8,9,156.88328040412904,
9,10,145.71117545547514,
10,11,132.22985733551315,
11,12,130.22172546636085,
12,13,141.06365140320875,
13,14,118.29583461172399,
14,15,104.50686438718154,
15,16,100.40105697615573,
16,17,102.10011312595776,
17,18,103.0517206899803,
