,voi_length,Returns%,MaxR
0,9,157.22268983839479,MR
1,10,128.15632308925498,
2,11,93.83733993164245,
3,12,103.89808092418599,
4,13,106.06717498134412,
5,14,88.14811663072089,
6,15,103.18022968493159,
7,16,74.04447665919727,
8,17,85.2333747828389,
9,18,73.69294598822378,
