,Date,Price,Signal,Returns%
0,2014-10-27,7991.700195,BUY,-0.01999999999999602
1,2014-11-18,8425.900391,SELL,5.390970161132458
2,2014-12-17,8029.799805,BUY,5.36989196710023
3,2015-01-29,8952.349609,SELL,17.45242377556532
4,2015-03-27,8341.400391,BUY,17.428933290810207
5,2015-04-13,8834.0,SELL,24.33880099686
6,2015-04-21,8377.75,BUY,24.31393323666063
7,2015-06-23,8381.549805,SELL,24.345442892654987
8,2015-08-26,7791.850098000001,BUY,24.32057380407646
9,2015-10-07,8177.399901999999,SELL,30.446005948359044
10,2015-11-16,7806.600098000001,BUY,30.419916747169367
11,2016-03-09,7531.799805,SELL,25.803836734937803
12,2016-10-17,8520.400391,BUY,25.778675967590814
13,2017-01-05,8273.799805,SELL,22.113915242281067
14,2017-06-28,9491.25,BUY,22.089492459232616
15,2017-07-17,9915.950195,SELL,27.527059122166932
16,2017-08-11,9710.799805,BUY,27.501553710342506
17,2017-09-12,10093.049805,SELL,32.493943006068065
18,2017-09-29,9788.599609,BUY,32.46744421746686
19,2017-10-18,10210.849609,SELL,38.15404490746212
20,2017-11-15,10118.049805,BUY,38.12641409848064
21,2017-12-19,10463.200195,SELL,42.809662129874
22,2018-02-07,10476.700195,BUY,42.78110019744804
23,2018-04-24,10614.349609,SELL,44.62811583302752
24,2018-05-23,10430.349609,BUY,44.59919020986092
25,2018-06-13,10856.700195,SELL,50.479719412531665
