,Date,Close,MACD,MACDSig
0,2014-09-29,7958.899901999999,,
1,2014-09-30,7964.799805,,
2,2014-10-01,7945.549805,,
3,2014-10-07,7852.399901999999,,
4,2014-10-08,7842.700195,,
5,2014-10-09,7960.549805,,
6,2014-10-10,7859.950195,,
7,2014-10-13,7884.25,,
8,2014-10-14,7864.0,,
10,2014-10-16,7748.200195,,
11,2014-10-17,7779.700195,,
12,2014-10-20,7879.399901999999,,
13,2014-10-21,7927.75,,
14,2014-10-22,7995.899901999999,,
15,2014-10-27,7991.700195,,
16,2014-10-28,8027.600098000001,,
17,2014-10-29,8090.450195,,
18,2014-10-30,8169.200195,,
19,2014-10-31,8322.200195,,
20,2014-11-03,8324.150391,,
21,2014-11-05,8338.299805,,
22,2014-11-07,8337.0,,
23,2014-11-10,8344.25,,
24,2014-11-11,8362.650391,,
25,2014-11-12,8383.299805,,
26,2014-11-13,8357.849609,199.09888735989625,199.09888735989625
27,2014-11-14,8389.900391,194.93025134178333,198.26516015627368
28,2014-11-17,8430.75,192.70145687355398,197.15241949972975
29,2014-11-18,8425.900391,188.37235898678136,195.39640739714008
30,2014-11-19,8382.299805,179.35581265399105,192.1882884485103
31,2014-11-20,8401.900391,171.81120557668874,188.112871874146
32,2014-11-21,8477.349609,169.96096721610593,184.48249094253802
33,2014-11-24,8530.150391,170.78650134139025,181.74329302230848
34,2014-11-25,8463.099609,164.13822209092723,178.22227883603225
35,2014-11-26,8475.75,158.0680832469352,174.19143971821285
36,2014-11-27,8494.200195,152.98274120965652,169.9497000165016
37,2014-11-28,8588.25,154.75765435754693,166.91129088471067
38,2014-12-01,8555.900391,151.80404024426934,163.88984075662242
39,2014-12-02,8524.700195,145.27109001598365,160.16609060849467
40,2014-12-03,8537.650391,139.53023478850992,156.03891944449774
41,2014-12-04,8564.400391,135.57622872951106,151.94638130150042
42,2014-12-05,8538.299805,128.85123445844874,147.3273519328901
43,2014-12-08,8438.25,114.1327931411397,140.68844017454003
44,2014-12-09,8340.700195,93.51884136101216,131.25452041183448
45,2014-12-10,8355.650391,77.49517578557243,120.50265148658208
46,2014-12-11,8292.900391,59.0521879326152,108.21255877578871
47,2014-12-12,8224.099609,38.4412126981606,94.25828956026308
48,2014-12-15,8219.599609,21.49596187118732,79.70582402244793
49,2014-12-16,8067.600098000001,-4.150517139931253,62.934555789972094
50,2014-12-17,8029.799805,-27.212021024541173,44.905240427069444
51,2014-12-18,8159.299805,-34.63955801647535,28.996280738360486
52,2014-12-19,8225.200195,-34.80708941452758,16.23560670778287
53,2014-12-22,8324.0,-26.66021829431702,7.656441707362894
54,2014-12-23,8267.0,-24.520530456040433,1.2210472746822285
55,2014-12-24,8174.100098000001,-29.975518999202905,-5.018265980094799
56,2014-12-26,8200.700195,-31.78582400596133,-10.371777585268106
57,2014-12-29,8246.299805,-29.204346800364874,-14.138291428287461
58,2014-12-30,8248.25,-26.693437744123003,-16.64932069145457
59,2014-12-31,8282.700195,-21.67383887961296,-17.654224329086247
61,2015-01-02,8395.450195,-8.499807417338161,-15.82334094673663
62,2015-01-05,8378.400391,0.5584927815089031,-12.546974201087524
63,2015-01-06,8127.350098000001,-12.377716963343119,-12.513122753538642
64,2015-01-07,8102.100098000001,-24.38611243907326,-14.887720690645567
65,2015-01-08,8234.599609,-22.94673351619349,-16.49952325575515
66,2015-01-09,8284.5,-17.576855778710524,-16.714989760346224
67,2015-01-12,8323.0,-10.098155491183206,-15.391622906513621
68,2015-01-13,8299.400391,-6.006286120711593,-13.514555549353217
69,2015-01-14,8277.549805,-4.475024544180997,-11.706649348318773
70,2015-01-15,8494.150391,14.054358474972105,-6.554447783660597
71,2015-01-16,8513.799805,29.978992344964354,0.752240242064393
72,2015-01-19,8550.700195,45.05753725911745,9.613299645475005
73,2015-01-20,8695.599609,67.9166634538633,21.273972407152662
74,2015-01-21,8729.5,87.75656088332107,34.570490102386344
75,2015-01-22,8761.400391,104.8453258336558,48.62545724864024
76,2015-01-23,8835.599609,122.95816675105561,63.491999149123316
77,2015-01-27,8910.5,141.72286627607173,79.138172574513
78,2015-01-28,8914.299805,155.11259688654172,94.33305743691875
79,2015-01-29,8952.349609,166.87077364532706,108.84060067860042
