,Date,Price,Signal,Returns%
0,2015-01-19,8550.700195,BUY,-0.01999999999999602
1,2015-03-26,8342.150391,SELL,-2.4779997618707625
2,2015-07-03,8484.900391,BUY,-2.4975041619183855
3,2015-08-24,7809.0,SELL,-10.282422241628467
4,2015-10-16,8238.150391,BUY,-10.300365757180145
5,2015-11-16,7806.600098000001,SELL,-15.016224466996661
6,2016-03-18,7604.350098000001,BUY,-15.033221222103265
7,2016-10-18,8677.900391,SELL,-3.057359717821271
8,2017-01-16,8412.799805,BUY,-3.0767482458777096
9,2018-02-21,10397.450195,SELL,19.76430620820682
10,2018-04-20,10564.049805,BUY,19.74035334696518
