,atr_length,Returns%,MaxR
0,7,344.6869617916501,
1,8,349.28200703965916,
2,9,339.8222669872656,
3,10,350.8780186472025,
4,11,355.5416237250157,MR
5,12,333.8218153954937,
6,13,340.9912005699117,
7,14,321.5188066703723,
8,15,316.39069660100415,
9,16,330.06593359362074,
10,17,330.06593359362074,
11,18,323.5752185627712,
12,19,289.93972027440986,
13,20,278.06485976049726,
