,Date,Close,SMA12,SMA26
0,2014-09-29,7958.899901999999,7878.366658416667,8058.180795461538
1,2014-09-30,7964.799805,7878.366658416667,8058.180795461538
2,2014-10-01,7945.549805,7878.366658416667,8058.180795461538
3,2014-10-07,7852.399901999999,7878.366658416667,8058.180795461538
4,2014-10-08,7842.700195,7878.366658416667,8058.180795461538
5,2014-10-09,7960.549805,7878.366658416667,8058.180795461538
6,2014-10-10,7859.950195,7878.366658416667,8058.180795461538
7,2014-10-13,7884.25,7878.366658416667,8058.180795461538
8,2014-10-14,7864.0,7878.366658416667,8058.180795461538
10,2014-10-16,7748.200195,7878.366658416667,8058.180795461538
11,2014-10-17,7779.700195,7878.366658416667,8058.180795461538
12,2014-10-20,7879.399901999999,7878.366658416667,8058.180795461538
13,2014-10-21,7927.75,7875.77083325,8058.180795461538
14,2014-10-22,7995.899901999999,7878.362507999999,8058.180795461538
15,2014-10-27,7991.700195,7882.208373833332,8058.180795461538
16,2014-10-28,8027.600098000001,7896.808390166665,8058.180795461538
17,2014-10-29,8090.450195,7917.454223499998,8058.180795461538
18,2014-10-30,8169.200195,7934.841755999998,8058.180795461538
19,2014-10-31,8322.200195,7973.362589333331,8058.180795461538
20,2014-11-03,8324.150391,8010.020955249998,8058.180795461538
21,2014-11-05,8338.299805,8049.545938999999,8058.180795461538
22,2014-11-07,8337.0,8098.612589416665,8058.180795461538
23,2014-11-10,8344.25,8145.658406499999,8058.180795461538
24,2014-11-11,8362.650391,8185.929280583332,8058.180795461538
25,2014-11-12,8383.299805,8223.891764333332,8058.180795461538
26,2014-11-13,8357.849609,8254.054239916664,8058.180795461538
27,2014-11-14,8389.900391,8287.237589583332,8074.757737346154
28,2014-11-17,8430.75,8320.833414749999,8092.6788986923075
29,2014-11-18,8425.900391,8348.787597749999,8111.15392123077
30,2014-11-19,8382.299805,8366.545898583334,8131.534686730769
31,2014-11-20,8401.900391,8373.187581583334,8153.042386576923
32,2014-11-21,8477.349609,8385.954183083333,8172.919302115385
33,2014-11-24,8530.150391,8401.941731916666,8198.696232730768
34,2014-11-25,8463.099609,8412.450032666666,8220.95967923077
35,2014-11-26,8475.75,8423.408366,8244.488525384615
36,2014-11-27,8494.200195,8434.370849666666,8273.180833076924
37,2014-11-28,8588.25,8451.450032583332,8304.278902499998
38,2014-12-01,8555.900391,8467.954264416667,8330.298152076923
39,2014-12-02,8524.700195,8479.187581416665,8353.257774961538
40,2014-12-03,8537.650391,8488.095947333333,8374.094332230768
41,2014-12-04,8564.400391,8499.637614,8396.121262846153
42,2014-12-05,8538.299805,8512.637614,8415.76355926923
43,2014-12-08,8438.25,8515.666748083333,8429.140474846152
44,2014-12-09,8340.700195,8504.279296916666,8435.736628692306
45,2014-12-10,8355.650391,8489.73763025,8437.023174692305
46,2014-12-11,8292.900391,8475.554362083332,8435.821251615384
47,2014-12-12,8224.099609,8454.583496166666,8431.428936384615
48,2014-12-15,8219.599609,8431.700114,8426.913536730768
49,2014-12-16,8067.600098000001,8388.312622166666,8416.273155884614
50,2014-12-17,8029.799805,8344.470906666666,8403.471210269228
51,2014-12-18,8159.299805,8314.020874166667,8394.855825653844
52,2014-12-19,8225.200195,8287.983357833333,8389.753925115383
53,2014-12-22,8324.0,8267.949991916665,8387.219294692306
54,2014-12-23,8267.0,8245.341674833331,8380.921217769228
55,2014-12-24,8174.100098000001,8223.329182999998,8371.236591115383
56,2014-12-26,8200.700195,8211.662516333332,8364.251990730769
57,2014-12-29,8246.299805,8202.549967499997,8358.26735280769
58,2014-12-30,8248.25,8198.829101583331,8349.455829384613
59,2014-12-31,8282.700195,8203.712483749998,8339.938514153844
61,2015-01-02,8395.450195,8218.366699249998,8337.336613615384
62,2015-01-05,8378.400391,8244.266723666666,8333.592397884615
63,2015-01-06,8127.350098000001,8252.395914749997,8319.48277876923
64,2015-01-07,8102.100098000001,8247.629272499997,8300.784705615382
65,2015-01-08,8234.599609,8248.412556999998,8288.426983230767
66,2015-01-09,8284.5,8245.12089033333,8279.188514192305
67,2015-01-12,8323.0,8249.787556999998,8270.932729923075
68,2015-01-13,8299.400391,8260.229248083331,8260.740422230767
69,2015-01-14,8277.549805,8266.633382249998,8250.711576076921
70,2015-01-15,8494.150391,8287.287597749999,8252.861591115383
71,2015-01-16,8513.799805,8309.416748166665,8259.519268423073
72,2015-01-19,8550.700195,8331.750081499998,8267.021183961535
73,2015-01-20,8695.599609,8356.762532666666,8282.509615423074
74,2015-01-21,8729.5,8386.020833416665,8301.948091999997
75,2015-01-22,8761.400391,8438.858357833333,8322.786583615381
76,2015-01-23,8835.599609,8499.983317083332,8352.32502634615
77,2015-01-27,8910.5,8556.308349666666,8386.198110769228
78,2015-01-28,8914.299805,8608.79166675,8415.236572307691
79,2015-01-29,8952.349609,8661.2374675,8443.203857461536
