,roc_l1,roc_l2,roc_l3,roc_l4,sma_l1,sma_l2,sma_l3,sma_l4,Returns%,MaxR
101,8,12,16,33,8,8,10,16,36.0774689786046,
102,8,12,16,33,8,10,8,12,36.135673372881996,
103,8,12,16,33,8,10,8,14,34.956170082162316,
104,8,12,16,33,8,10,8,16,37.047462938115274,
105,8,12,16,33,8,10,10,12,40.65829474134421,
106,8,12,16,33,8,10,10,14,40.533959187611885,
107,8,12,16,33,8,10,10,16,37.98867948964707,
108,8,12,16,33,10,8,8,12,27.26197268844207,
109,8,12,16,33,10,8,8,14,32.9856762949255,
110,8,12,16,33,10,8,8,16,35.293927185684026,
111,8,12,16,33,10,8,10,12,34.328237891968115,
112,8,12,16,33,10,8,10,14,33.99300045229015,
113,8,12,16,33,10,8,10,16,37.68956706099911,
114,8,12,16,33,10,10,8,12,30.986305857019033,
115,8,12,16,33,10,10,8,14,32.41485163874819,
116,8,12,16,33,10,10,8,16,39.10390627410911,
117,8,12,16,33,10,10,10,12,36.4481370215056,
118,8,12,16,33,10,10,10,14,37.94523947725014,
119,8,12,16,33,10,10,10,16,37.168543790496244,
120,8,12,18,25,8,8,8,12,37.55539855228008,
121,8,12,18,25,8,8,8,14,36.22004358316383,
122,8,12,18,25,8,8,8,16,37.45545851123174,
123,8,12,18,25,8,8,10,12,37.58991017069724,
124,8,12,18,25,8,8,10,14,37.2951226846038,
125,8,12,18,25,8,8,10,16,41.76493741117474,
126,8,12,18,25,8,10,8,12,38.34611359541876,
127,8,12,18,25,8,10,8,14,39.66251066771474,
128,8,12,18,25,8,10,8,16,41.44185329734887,
129,8,12,18,25,8,10,10,12,35.81447456269021,
130,8,12,18,25,8,10,10,14,40.30333308957793,
131,8,12,18,25,8,10,10,16,38.157076902065654,
132,8,12,18,25,10,8,8,12,36.39092253004844,
133,8,12,18,25,10,8,8,14,36.92514309033143,
134,8,12,18,25,10,8,8,16,38.23866073607206,
135,8,12,18,25,10,8,10,12,32.94486028135884,
136,8,12,18,25,10,8,10,14,36.35175558698674,
137,8,12,18,25,10,8,10,16,42.25214262318872,
138,8,12,18,25,10,10,8,12,35.191774463134124,
139,8,12,18,25,10,10,8,14,37.21593894113465,
140,8,12,18,25,10,10,8,16,42.624042985063625,
141,8,12,18,25,10,10,10,12,36.57701381470687,
142,8,12,18,25,10,10,10,14,38.43941363938569,
143,8,12,18,25,10,10,10,16,38.433078795466685,
144,8,12,18,27,8,8,8,12,40.54068390696554,
145,8,12,18,27,8,8,8,14,41.28598231474933,
146,8,12,18,27,8,8,8,16,41.49150562305746,
147,8,12,18,27,8,8,10,12,42.386631585650406,
148,8,12,18,27,8,8,10,14,42.3140782942705,
149,8,12,18,27,8,8,10,16,39.05286909293187,
150,8,12,18,27,8,10,8,12,41.495270276786584,
151,8,12,18,27,8,10,8,14,41.79791520998151,
152,8,12,18,27,8,10,8,16,40.74132597122107,
153,8,12,18,27,8,10,10,12,42.11091921881217,
154,8,12,18,27,8,10,10,14,42.36884524126532,
155,8,12,18,27,8,10,10,16,43.29180974407319,
156,8,12,18,27,10,8,8,12,42.00824322466025,
157,8,12,18,27,10,8,8,14,41.57088387365391,
158,8,12,18,27,10,8,8,16,40.68221441348135,
159,8,12,18,27,10,8,10,12,42.188369546783434,
160,8,12,18,27,10,8,10,14,43.56991426054566,
161,8,12,18,27,10,8,10,16,38.377037832836464,
162,8,12,18,27,10,10,8,12,42.80446509075202,
163,8,12,18,27,10,10,8,14,42.343046107245385,
164,8,12,18,27,10,10,8,16,40.077723477655695,
165,8,12,18,27,10,10,10,12,42.32740389058776,
166,8,12,18,27,10,10,10,14,40.85386924803581,
167,8,12,18,27,10,10,10,16,43.91755613607168,
168,8,12,18,29,8,8,8,12,42.34908607944914,
169,8,12,18,29,8,8,8,14,42.54674618170418,
170,8,12,18,29,8,8,8,16,42.61768025387295,
171,8,12,18,29,8,8,10,12,42.628119934461296,
172,8,12,18,29,8,8,10,14,37.04273524261458,
173,8,12,18,29,8,8,10,16,40.50606897264365,
174,8,12,18,29,8,10,8,12,43.35726837054253,
175,8,12,18,29,8,10,8,14,41.96065396541755,
176,8,12,18,29,8,10,8,16,39.73527441411866,
177,8,12,18,29,8,10,10,12,43.342837061351105,
178,8,12,18,29,8,10,10,14,40.428235868297264,
179,8,12,18,29,8,10,10,16,41.68564496345988,
180,8,12,18,29,10,8,8,12,42.65134910245942,
181,8,12,18,29,10,8,8,14,41.196822817578436,
182,8,12,18,29,10,8,8,16,39.51189667947375,
183,8,12,18,29,10,8,10,12,42.388939298259174,
184,8,12,18,29,10,8,10,14,34.30855786475493,
185,8,12,18,29,10,8,10,16,37.40938457336111,
186,8,12,18,29,10,10,8,12,42.93537956877378,
187,8,12,18,29,10,10,8,14,41.084555634232316,
188,8,12,18,29,10,10,8,16,40.999371864221274,
189,8,12,18,29,10,10,10,12,43.342837061351105,
190,8,12,18,29,10,10,10,14,41.86407391741707,
191,8,12,18,29,10,10,10,16,38.58719412563323,
192,8,12,18,31,8,8,8,12,36.09797546944881,
193,8,12,18,31,8,8,8,14,38.30504269419336,
194,8,12,18,31,8,8,8,16,37.25589439690333,
195,8,12,18,31,8,8,10,12,36.67600994671312,
196,8,12,18,31,8,8,10,14,36.764292329082025,
197,8,12,18,31,8,8,10,16,35.25422605107508,
198,8,12,18,31,8,10,8,12,37.86430860192311,
199,8,12,18,31,8,10,8,14,39.296058629793094,
200,8,12,18,31,8,10,8,16,44.36472065440904,
201,8,12,18,31,8,10,10,12,36.50754277612242,
202,8,12,18,31,8,10,10,14,40.17467630023867,
203,8,12,18,31,8,10,10,16,35.25422605107508,
204,8,12,18,31,10,8,8,12,36.500981170735855,
205,8,12,18,31,10,8,8,14,36.697798744492246,
206,8,12,18,31,10,8,8,16,39.06874505728223,
207,8,12,18,31,10,8,10,12,37.200062088458054,
208,8,12,18,31,10,8,10,14,37.39703493850104,
209,8,12,18,31,10,8,10,16,35.25422605107508,
210,8,12,18,31,10,10,8,12,38.68894265086439,
211,8,12,18,31,10,10,8,14,39.21710097756991,
212,8,12,18,31,10,10,8,16,36.76017184413348,
213,8,12,18,31,10,10,10,12,36.68696924877139,
214,8,12,18,31,10,10,10,14,39.198232090944856,
215,8,12,18,31,10,10,10,16,36.55199179643503,
216,8,12,18,33,8,8,8,12,35.34525484156728,
217,8,12,18,33,8,8,8,14,37.56406055860859,
218,8,12,18,33,8,8,8,16,41.791450867255605,
219,8,12,18,33,8,8,10,12,39.280589306885275,
220,8,12,18,33,8,8,10,14,42.984431391562964,
221,8,12,18,33,8,8,10,16,40.30275818901117,
222,8,12,18,33,8,10,8,12,37.474692345479525,
223,8,12,18,33,8,10,8,14,41.04620868259968,
224,8,12,18,33,8,10,8,16,41.70858784379868,
225,8,12,18,33,8,10,10,12,42.18387080929264,
226,8,12,18,33,8,10,10,14,40.16149811369294,
227,8,12,18,33,8,10,10,16,35.995600693781455,
228,8,12,18,33,10,8,8,12,35.77526112653379,
229,8,12,18,33,10,8,8,14,38.95903040667531,
230,8,12,18,33,10,8,8,16,39.78037749075523,
