,Date,Close,KST
0,2014-09-29,7958.899901999999,
1,2014-09-30,7964.799805,
2,2014-10-01,7945.549805,
3,2014-10-07,7852.399901999999,
4,2014-10-08,7842.700195,
5,2014-10-09,7960.549805,
6,2014-10-10,7859.950195,
7,2014-10-13,7884.25,
8,2014-10-14,7864.0,
10,2014-10-16,7748.200195,
11,2014-10-17,7779.700195,
12,2014-10-20,7879.399901999999,
13,2014-10-21,7927.75,
14,2014-10-22,7995.899901999999,
15,2014-10-27,7991.700195,
16,2014-10-28,8027.600098000001,
17,2014-10-29,8090.450195,
18,2014-10-30,8169.200195,
19,2014-10-31,8322.200195,
20,2014-11-03,8324.150391,
21,2014-11-05,8338.299805,
22,2014-11-07,8337.0,
23,2014-11-10,8344.25,
24,2014-11-11,8362.650391,
25,2014-11-12,8383.299805,
26,2014-11-13,8357.849609,
27,2014-11-14,8389.900391,
28,2014-11-17,8430.75,
29,2014-11-18,8425.900391,
30,2014-11-19,8382.299805,
31,2014-11-20,8401.900391,
32,2014-11-21,8477.349609,
33,2014-11-24,8530.150391,
34,2014-11-25,8463.099609,
35,2014-11-26,8475.75,
36,2014-11-27,8494.200195,
37,2014-11-28,8588.25,
38,2014-12-01,8555.900391,
39,2014-12-02,8524.700195,
40,2014-12-03,8537.650391,
41,2014-12-04,8564.400391,
42,2014-12-05,8538.299805,
43,2014-12-08,8438.25,
44,2014-12-09,8340.700195,
45,2014-12-10,8355.650391,41.646538797915035
46,2014-12-11,8292.900391,38.03314403873351
47,2014-12-12,8224.099609,32.45823973973563
48,2014-12-15,8219.599609,26.712357213481802
49,2014-12-16,8067.600098000001,19.841267053695564
50,2014-12-17,8029.799805,12.514083577656338
51,2014-12-18,8159.299805,6.5250421940886385
52,2014-12-19,8225.200195,0.44202796770828057
53,2014-12-22,8324.0,-3.544900165108822
54,2014-12-23,8267.0,-7.052817247812072
55,2014-12-24,8174.100098000001,-12.267668938945212
56,2014-12-26,8200.700195,-16.72632590765674
57,2014-12-29,8246.299805,-19.649820500052126
58,2014-12-30,8248.25,-21.565906087637384
59,2014-12-31,8282.700195,-21.14657223964691
61,2015-01-02,8395.450195,-19.359482552003065
62,2015-01-05,8378.400391,-18.36438893477097
63,2015-01-06,8127.350098000001,-19.59955518406513
64,2015-01-07,8102.100098000001,-21.44730641139002
65,2015-01-08,8234.599609,-19.97020867135888
66,2015-01-09,8284.5,-16.978362214347523
67,2015-01-12,8323.0,-14.286988565189523
68,2015-01-13,8299.400391,-12.455307049127008
69,2015-01-14,8277.549805,-11.628513976417775
70,2015-01-15,8494.150391,-8.30398569153725
71,2015-01-16,8513.799805,-4.983599304687279
72,2015-01-19,8550.700195,-1.849720231902316
73,2015-01-20,8695.599609,4.4007137414524875
74,2015-01-21,8729.5,11.048668376834943
75,2015-01-22,8761.400391,16.44351000652227
76,2015-01-23,8835.599609,21.560968102494595
77,2015-01-27,8910.5,27.534880274435245
78,2015-01-28,8914.299805,35.46195356858639
79,2015-01-29,8952.349609,44.516889886188096
80,2015-01-30,8808.900391,48.967485208568355
81,2015-02-02,8797.400391,52.34561898341623
82,2015-02-03,8756.549805,54.973287225780034
83,2015-02-04,8723.700195,57.23782902351968
84,2015-02-05,8711.700195,59.23047934308381
85,2015-02-06,8661.049805,58.839420316345596
86,2015-02-09,8526.349609,56.47679065569338
87,2015-02-10,8565.549805,53.65506662051429
88,2015-02-11,8627.400391,49.99548666914375
89,2015-02-12,8711.549805,46.36079189414497
90,2015-02-13,8805.5,44.22407405915506
91,2015-02-16,8809.349609,41.99496902525849
92,2015-02-18,8869.099609,40.08694564409115
93,2015-02-19,8895.299805,37.95566755772509
94,2015-02-20,8833.599609,34.93262578473995
95,2015-02-23,8754.950195,32.2991912388345
96,2015-02-24,8762.099609,30.678762887285583
97,2015-02-25,8767.25,29.405915800202497
98,2015-02-26,8683.849609,27.516601139994428
99,2015-02-27,8844.599609,26.93528819777788
101,2015-03-02,8956.75,27.27817663048087
102,2015-03-03,8996.25,28.63703513437285
103,2015-03-04,8922.650391,28.92115798688126
104,2015-03-05,8937.75,29.091587832057797
105,2015-03-09,8756.75,27.616503633264788
106,2015-03-10,8712.049805,25.734668188097707
107,2015-03-11,8699.950195,24.355416120467954
