,ma_length_fast,ma_length_slow,Returns%,MaxR
0,10,22,23.872832498814134,
1,10,24,23.04955324377167,
2,10,26,22.96942806700403,
3,10,28,20.968115525899975,
4,11,22,31.557426045478223,
5,11,24,26.570567389739367,
6,11,26,26.971275107506315,
7,11,28,23.459065548992555,
8,12,22,32.72488242842434,MR
9,12,24,27.98364344542854,
10,12,26,26.049343798846294,
11,12,28,26.0971678123893,
12,13,22,26.142694493379807,
13,13,24,27.769904742433923,
14,13,26,24.289712979445838,
15,13,28,27.557964312095237,
