,Date,Open,High,Low,Close,Adj Close,Volume,TSI
0,2014-09-29,7978.450195,7991.75,7934.700195,7958.899901999999,7958.899901999999,97300.0,
1,2014-09-30,7948.799805,8030.899901999999,7923.850098000001,7964.799805,7964.799805,141100.0,100.0
2,2014-10-01,7960.5,7977.5,7936.700195,7945.549805,7945.549805,113000.0,-7.936151167548595
3,2014-10-07,7897.399901999999,7943.049805,7842.700195,7852.399901999999,7852.399901999999,148200.0,-66.3696440521458
4,2014-10-08,7828.75,7869.899901999999,7815.75,7842.700195,7842.700195,135900.0,-75.83479928837387
5,2014-10-09,7886.5,7972.350098000001,7886.5,7960.549805,7960.549805,123800.0,-44.569693730819715
6,2014-10-10,7911.0,7924.049805,7848.450195,7859.950195,7859.950195,142900.0,-38.99284634392908
7,2014-10-13,7831.0,7901.149901999999,7796.0,7884.25,7884.25,118800.0,-34.00992421374993
8,2014-10-14,7923.25,7928.0,7825.450195,7864.0,7864.0,225500.0,-31.948797017010232
10,2014-10-16,7837.299805,7893.899901999999,7729.649901999999,7748.200195,7748.200195,213500.0,-34.14145327053296
11,2014-10-17,7733.75,7819.200195,7723.850098000001,7779.700195,7779.700195,177600.0,-34.015442301108145
12,2014-10-20,7896.950195,7905.950195,7856.950195,7879.399901999999,7879.399901999999,176200.0,-29.9206962822862
13,2014-10-21,7906.149901999999,7936.600098000001,7874.350098000001,7927.75,7927.75,163400.0,-25.48065891257343
14,2014-10-22,7997.799805,8005.0,7974.549805,7995.899901999999,7995.899901999999,151100.0,-20.388167651035754
15,2014-10-27,8064.350098000001,8064.399901999999,7985.649901999999,7991.700195,7991.700195,132800.0,-16.67799338076043
16,2014-10-28,8002.399901999999,8037.799805,7995.049805,8027.600098000001,8027.600098000001,124100.0,-13.06055824761291
17,2014-10-29,8077.049805,8097.950195,8052.25,8090.450195,8090.450195,148300.0,-9.042674911402232
18,2014-10-30,8085.200195,8181.549805,8085.200195,8169.200195,8169.200195,205700.0,-4.555477857566985
19,2014-10-31,8200.799805,8330.75,8198.049805,8322.200195,8322.200195,176200.0,1.2102063165420995
20,2014-11-03,8348.150391,8350.599609,8297.650391,8324.150391,8324.150391,141100.0,5.78655348980911
21,2014-11-05,8351.25,8365.549805,8323.5,8338.299805,8338.299805,161600.0,9.656077399552775
22,2014-11-07,8331.849609,8360.349609,8290.25,8337.0,8337.0,153400.0,12.83754636525935
23,2014-11-10,8337.799805,8383.049805,8304.450195,8344.25,8344.25,130700.0,15.584625390938292
24,2014-11-11,8354.099609,8378.700195,8321.849609,8362.650391,8362.650391,122000.0,18.093310081266026
25,2014-11-12,8378.900391,8415.049805,8370.5,8383.299805,8383.299805,125200.0,20.428466445531864
26,2014-11-13,8405.25,8408.0,8320.349609,8357.849609,8357.849609,127400.0,22.13754668493922
27,2014-11-14,8360.700195,8400.650391,8346.799805,8389.900391,8389.900391,146800.0,23.875255575356295
28,2014-11-17,8378.400391,8438.099609,8349.099609,8430.75,8430.75,113900.0,25.69710890841412
29,2014-11-18,8441.25,8454.5,8407.25,8425.900391,8425.900391,134700.0,27.237741963535345
