,Date,Close,ema
0,2014-09-29,7958.899901999999,
1,2014-09-30,7964.799805,
2,2014-10-01,7945.549805,
3,2014-10-07,7852.399901999999,
4,2014-10-08,7842.700195,
5,2014-10-09,7960.549805,
6,2014-10-10,7859.950195,
7,2014-10-13,7884.25,
8,2014-10-14,7864.0,7903.677734333333
10,2014-10-16,7748.200195,7872.582226466667
11,2014-10-17,7779.700195,7854.005820173334
12,2014-10-20,7879.399901999999,7859.084636538667
13,2014-10-21,7927.75,7872.817709230934
14,2014-10-22,7995.899901999999,7897.434147784748
15,2014-10-27,7991.700195,7916.287357227799
16,2014-10-28,8027.600098000001,7938.54990538224
17,2014-10-29,8090.450195,7968.929963305793
18,2014-10-30,8169.200195,8008.984009644635
19,2014-10-31,8322.200195,8071.627246715709
20,2014-11-03,8324.150391,8122.131875572567
21,2014-11-05,8338.299805,8165.365461458055
22,2014-11-07,8337.0,8199.692369166443
23,2014-11-10,8344.25,8228.603895333155
24,2014-11-11,8362.650391,8255.413194466524
25,2014-11-12,8383.299805,8280.99051657322
26,2014-11-13,8357.849609,8296.362335058577
27,2014-11-14,8389.900391,8315.069946246862
28,2014-11-17,8430.75,8338.20595699749
29,2014-11-18,8425.900391,8355.744843797991
30,2014-11-19,8382.299805,8361.055836038393
31,2014-11-20,8401.900391,8369.224747030716
32,2014-11-21,8477.349609,8390.849719424574
33,2014-11-24,8530.150391,8418.70985373966
34,2014-11-25,8463.099609,8427.587804791729
35,2014-11-26,8475.75,8437.220243833382
36,2014-11-27,8494.200195,8448.616234066707
37,2014-11-28,8588.25,8476.542987253366
38,2014-12-01,8555.900391,8492.414468002693
39,2014-12-02,8524.700195,8498.871613402156
40,2014-12-03,8537.650391,8506.627368921725
41,2014-12-04,8564.400391,8518.181973337381
42,2014-12-05,8538.299805,8522.205539669907
43,2014-12-08,8438.25,8505.414431735926
44,2014-12-09,8340.700195,8472.47158438874
45,2014-12-10,8355.650391,8449.107345710992
46,2014-12-11,8292.900391,8417.865954768795
47,2014-12-12,8224.099609,8379.112685615037
48,2014-12-15,8219.599609,8347.210070292029
49,2014-12-16,8067.600098000001,8291.288075833623
50,2014-12-17,8029.799805,8238.990421666898
51,2014-12-18,8159.299805,8223.05229833352
52,2014-12-19,8225.200195,8223.481877666816
53,2014-12-22,8324.0,8243.585502133454
54,2014-12-23,8267.0,8248.268401706764
55,2014-12-24,8174.100098000001,8233.434740965411
56,2014-12-26,8200.700195,8226.887831772328
57,2014-12-29,8246.299805,8230.770226417862
58,2014-12-30,8248.25,8234.26618113429
59,2014-12-31,8282.700195,8243.952983907431
61,2015-01-02,8395.450195,8274.252426125946
62,2015-01-05,8378.400391,8295.082019100757
63,2015-01-06,8127.350098000001,8261.535634880605
64,2015-01-07,8102.100098000001,8229.648527504485
65,2015-01-08,8234.599609,8230.638743803589
66,2015-01-09,8284.5,8241.410995042872
67,2015-01-12,8323.0,8257.728796034298
68,2015-01-13,8299.400391,8266.063115027438
69,2015-01-14,8277.549805,8268.36045302195
70,2015-01-15,8494.150391,8313.518440617561
71,2015-01-16,8513.799805,8353.57471349405
72,2015-01-19,8550.700195,8392.999809795241
73,2015-01-20,8695.599609,8453.519769636194
74,2015-01-21,8729.5,8508.715815708956
75,2015-01-22,8761.400391,8559.252730767164
76,2015-01-23,8835.599609,8614.522106413733
77,2015-01-27,8910.5,8673.717685130987
78,2015-01-28,8914.299805,8721.83410910479
79,2015-01-29,8952.349609,8767.937209083831
80,2015-01-30,8808.900391,8776.129845467065
81,2015-02-02,8797.400391,8780.383954573652
82,2015-02-03,8756.549805,8775.617124658922
83,2015-02-04,8723.700195,8765.233738727138
84,2015-02-05,8711.700195,8754.527029981711
85,2015-02-06,8661.049805,8735.83158498537
86,2015-02-09,8526.349609,8693.935189788297
87,2015-02-10,8565.549805,8668.258112830637
88,2015-02-11,8627.400391,8660.08656846451
89,2015-02-12,8711.549805,8670.379215771609
90,2015-02-13,8805.5,8697.403372617287
91,2015-02-16,8809.349609,8719.79261989383
92,2015-02-18,8869.099609,8749.654017715064
93,2015-02-19,8895.299805,8778.783175172051
94,2015-02-20,8833.599609,8789.746461937642
95,2015-02-23,8754.950195,8782.787208550115
96,2015-02-24,8762.099609,8778.649688640093
