,Date,Open,High,Low,Close,Adj Close,Volume,kc_central,kc_hband,kc_lband
0,2014-09-29,7978.450195,7991.75,7934.700195,7958.899901999999,7958.899901999999,97300.0,,,
1,2014-09-30,7948.799805,8030.899901999999,7923.850098000001,7964.799805,7964.799805,141100.0,,,
2,2014-10-01,7960.5,7977.5,7936.700195,7945.549805,7945.549805,113000.0,,,
3,2014-10-07,7897.399901999999,7943.049805,7842.700195,7852.399901999999,7852.399901999999,148200.0,,,
4,2014-10-08,7828.75,7869.899901999999,7815.75,7842.700195,7842.700195,135900.0,,,
5,2014-10-09,7886.5,7972.350098000001,7886.5,7960.549805,7960.549805,123800.0,,,
6,2014-10-10,7911.0,7924.049805,7848.450195,7859.950195,7859.950195,142900.0,,,
7,2014-10-13,7831.0,7901.149901999999,7796.0,7884.25,7884.25,118800.0,,,
8,2014-10-14,7923.25,7928.0,7825.450195,7864.0,7864.0,225500.0,,,
10,2014-10-16,7837.299805,7893.899901999999,7729.649901999999,7748.200195,7748.200195,213500.0,7895.120003166667,7984.3998372666665,7805.840169066667
11,2014-10-17,7733.75,7819.200195,7723.850098000001,7779.700195,7779.700195,177600.0,7876.366682866666,7969.476546166667,7783.256819566665
12,2014-10-20,7896.950195,7905.950195,7856.950195,7879.399901999999,7879.399901999999,176200.0,7867.125032433333,7954.429915333334,7779.8201495333315
13,2014-10-21,7906.149901999999,7936.600098000001,7874.350098000001,7927.75,7927.75,163400.0,7863.090038966667,7952.539941366667,7773.640136566665
14,2014-10-22,7997.799805,8005.0,7974.549805,7995.899901999999,7995.899901999999,151100.0,7874.3333658,7956.793326700002,7791.8734048999995
15,2014-10-27,8064.350098000001,8064.399901999999,7985.649901999999,7991.700195,7991.700195,132800.0,7891.446695866667,7976.366666566668,7806.526725166665
16,2014-10-28,8002.399901999999,8037.799805,7995.049805,8027.600098000001,8027.600098000001,124100.0,7899.4816893666675,7980.091650266669,7818.871728466665
17,2014-10-29,8077.049805,8097.950195,8052.25,8090.450195,8090.450195,148300.0,7919.7550292,7997.3750486000035,7842.135009799998
18,2014-10-30,8085.200195,8181.549805,8085.200195,8169.200195,8169.200195,205700.0,7948.240038966667,8024.980029166671,7871.500048766664
19,2014-10-31,8200.799805,8330.75,8198.049805,8322.200195,8322.200195,176200.0,7989.358365800001,8069.113395000005,7909.603336599997
20,2014-11-03,8348.150391,8350.599609,8297.650391,8324.150391,8324.150391,141100.0,8042.713378866667,8111.338329866671,7974.088427866664
21,2014-11-05,8351.25,8365.549805,8323.5,8338.299805,8338.299805,161600.0,8099.5333496,8162.828271400004,8036.238427799997
22,2014-11-07,8331.849609,8360.349609,8290.25,8337.0,8337.0,153400.0,8144.3766601666675,8209.78154286667,8078.971777466664
23,2014-11-10,8337.799805,8383.049805,8304.450195,8344.25,8344.25,130700.0,8187.4783203000015,8254.518164000005,8120.438476599998
24,2014-11-11,8354.099609,8378.700195,8321.849609,8362.650391,8362.650391,122000.0,8223.736669900001,8293.416552700004,8154.056787099998
25,2014-11-12,8378.900391,8415.049805,8370.5,8383.299805,8383.299805,125200.0,8261.306656933335,8327.566520233337,8195.046793633332
26,2014-11-13,8405.25,8408.0,8320.349609,8357.849609,8357.849609,127400.0,8295.498307266667,8366.24820966667,8224.748404866663
27,2014-11-14,8360.700195,8400.650391,8346.799805,8389.900391,8389.900391,146800.0,8325.388313833333,8396.953255333337,8253.82337233333
28,2014-11-17,8378.400391,8438.099609,8349.099609,8430.75,8430.75,113900.0,8351.454947933333,8422.284928433337,8280.624967433332
29,2014-11-18,8441.25,8454.5,8407.25,8425.900391,8425.900391,134700.0,8366.009960966667,8428.29492196667,8303.724999966664
30,2014-11-19,8440.650391,8455.650391,8360.5,8382.299805,8382.299805,125400.0,8373.544954466666,8440.05003276667,8307.039876166664
31,2014-11-20,8406.5,8410.849609,8353.150391,8401.900391,8401.900391,122800.0,8378.163313833333,8446.233333433336,8310.093294233331
32,2014-11-21,8408.200195,8489.799805,8398.599609,8477.349609,8477.349609,137000.0,8390.7682943,8460.948372600003,8320.588215999998
33,2014-11-24,8490.950195,8534.650391,8490.799805,8530.150391,8530.150391,140700.0,8408.229980533331,8474.935156433337,8341.524804633333
34,2014-11-25,8530.799805,8535.349609,8429.450195,8463.099609,8463.099609,271900.0,8420.386621133333,8491.996679833337,8348.776562433331
