,s_k,s_d,s_smooth,Returns%,MaxR
0,13,1,2,34.86680956710103,
1,13,1,3,37.14247740633988,
2,13,3,2,42.499554503178814,
3,13,3,3,47.66060890425163,
4,14,1,2,26.782533367265117,
5,14,1,3,40.17121261104924,
6,14,3,2,48.58562415183195,MR
7,14,3,3,39.79315674950732,
