,Date,Price,Signal,Returns%
0,2014-12-10,8355.650391,BUY,-0.01999999999999602
1,2015-01-14,8277.549805,SELL,-0.9743260070777353
2,2015-03-25,8530.799805,BUY,-0.9941311418763235
3,2015-07-15,8523.799805,SELL,-1.0951559394146528
4,2015-08-21,8299.950195,BUY,-1.1149369082267668
5,2015-10-01,7950.899901999999,SELL,-5.292444541234445
6,2015-11-04,8040.200195,BUY,-5.311386052326199
7,2016-04-12,7708.950195,SELL,-9.23064086784116
8,2016-09-28,8745.150391,BUY,-9.248794739667588
9,2017-01-10,8288.599609,SELL,-14.003770006042572
10,2017-06-23,9574.950195,BUY,-14.020969252041368
11,2017-07-07,9665.799805,SELL,-13.222536880466748
12,2017-08-10,9820.25,BUY,-13.239892373090655
13,2017-09-11,10006.049805,SELL,-11.616065496253668
14,2017-09-26,9871.5,BUY,-11.633742283154419
15,2018-01-12,10681.25,SELL,-4.404262997517165
16,2018-03-05,10358.849609,BUY,-4.423382144917653
17,2018-07-09,10852.900391,SELL,0.11498339412013081
18,2018-09-17,11377.75,BUY,0.09496039744131224
