,Date,Price,Signal,Returns%
0,2015-01-08,8234.599609,BUY,-0.01999999999999602
1,2015-02-12,8711.549805,SELL,5.749713975437473
2,2015-02-18,8869.099609,BUY,5.728564032642382
3,2015-03-13,8647.75,SELL,3.0692366841542054
4,2015-04-09,8778.299805,BUY,3.0486228368173727
5,2015-04-22,8429.700195,SELL,-1.063385676561964
6,2015-05-20,8423.25,BUY,-1.083172999426651
7,2015-06-03,8135.100098000001,SELL,-4.486112917412143
8,2015-06-23,8381.549805,BUY,-4.505215694828664
9,2015-08-03,8543.049805,SELL,-2.684640183066506
10,2015-08-07,8564.599609,BUY,-2.7041032550298922
11,2015-08-11,8462.349609,SELL,-3.8849145343220783
12,2015-08-13,8355.849609,BUY,-3.904137551415218
13,2015-08-18,8466.549805,SELL,-2.650511502967717
14,2015-09-23,7845.950195,BUY,-2.669981400667126
15,2015-11-03,8060.700195,SELL,-0.025978907833788867
16,2015-12-24,7861.049805,BUY,-0.04597371205221634
17,2016-01-07,7568.299805,SELL,-3.7875652720778987
18,2016-03-02,7368.850098000001,BUY,-3.806807759023485
19,2016-05-10,7887.799805,SELL,2.946983909741334
20,2016-05-16,7860.75,BUY,2.9263945129593907
21,2016-05-23,7731.049805,SELL,1.2078919202775893
22,2016-05-24,7748.850098000001,BUY,1.18765034189353
23,2016-06-27,8094.700195,SELL,5.682761423774608
24,2016-06-28,8127.850098000001,BUY,5.661624871489849
25,2016-08-26,8572.549805,SELL,11.420409193148942
26,2016-08-29,8607.450195,BUY,11.398125111310321
27,2016-09-26,8723.049805,SELL,12.871643197567806
28,2016-12-08,8246.849609,BUY,12.849068868928299
29,2016-12-20,8082.399901999999,SELL,10.576635702340695
30,2017-01-04,8190.5,BUY,10.554520375200227
31,2017-06-23,9574.950195,SELL,29.215837326093634
32,2017-07-07,9665.799805,BUY,29.189994158628423
33,2017-08-11,9710.799805,SELL,29.765491501356763
34,2017-09-01,9974.400391,BUY,29.739538403056486
35,2017-09-27,9735.75,SELL,26.610025581572387
36,2017-10-12,10096.400391,BUY,26.58470357645608
37,2017-11-15,10118.049805,SELL,26.830764201086325
38,2017-11-27,10399.549805,BUY,26.805398048246104
39,2017-12-01,10121.799805,SELL,23.394010080135118
40,2017-12-18,10388.75,BUY,23.36933127811909
41,2018-02-07,10476.700195,SELL,24.38888185383979
42,2018-04-09,10379.349609,BUY,24.36400407746902
43,2018-05-22,10536.700195,SELL,26.22410826520658
44,2018-06-06,10684.650391,BUY,26.19886344355355
45,2018-06-27,10671.400391,SELL,26.017156172869107
46,2018-07-09,10852.900391,BUY,25.991952741634535
47,2018-09-12,11369.900391,SELL,31.967437085953804
