,Date,Close,UPRBB,MIDBB,LWRBB
0,2014-09-29,7958.899901999999,,,
1,2014-09-30,7964.799805,,,
2,2014-10-01,7945.549805,,,
3,2014-10-07,7852.399901999999,,,
4,2014-10-08,7842.700195,,,
5,2014-10-09,7960.549805,,,
6,2014-10-10,7859.950195,,,
7,2014-10-13,7884.25,,,
8,2014-10-14,7864.0,,,
10,2014-10-16,7748.200195,,,
11,2014-10-17,7779.700195,,,
12,2014-10-20,7879.399901999999,,,
13,2014-10-21,7927.75,,,
14,2014-10-22,7995.899901999999,,,
15,2014-10-27,7991.700195,,,
16,2014-10-28,8027.600098000001,,,
17,2014-10-29,8090.450195,,,
18,2014-10-30,8169.200195,,,
19,2014-10-31,8322.200195,,,
20,2014-11-03,8324.150391,8282.377588125326,7969.467553600001,7656.557519074677
21,2014-11-05,8338.299805,8342.00987923421,7988.43754875,7634.86521826579
22,2014-11-07,8337.0,8393.072920751889,8007.0475585,7621.022196248111
23,2014-11-10,8344.25,8439.87975872277,8026.982568250001,7614.085377777234
24,2014-11-11,8362.650391,8482.666522132495,8052.495092700001,7622.323663267507
25,2014-11-12,8383.299805,8521.953988807634,8079.5250732,7637.096157592367
26,2014-11-13,8357.849609,8554.813051646126,8099.3900634,7643.967075153874
27,2014-11-14,8389.900391,8584.310592257892,8125.8875732,7667.464554142107
28,2014-11-17,8430.75,8616.11865118141,8153.2125732,7690.30649521859
29,2014-11-18,8425.900391,8638.476870833683,8181.30759275,7724.1383146663175
30,2014-11-19,8382.299805,8629.888054480029,8213.012573249998,7796.137092019969
31,2014-11-20,8401.900391,8615.192693859182,8244.122583049999,7873.0524722408145
32,2014-11-21,8477.349609,8616.62215394741,8274.020068399997,7931.417982852584
33,2014-11-24,8530.150391,8623.709656418658,8304.140087949998,7984.570519481338
34,2014-11-25,8463.099609,8619.29477653475,8327.500073299998,8035.705370065244
35,2014-11-26,8475.75,8603.824496784298,8351.702563549998,8099.580630315697
36,2014-11-27,8494.200195,8583.441762586417,8375.032568399998,8166.623374213578
37,2014-11-28,8588.25,8582.533837858351,8399.922558649998,8217.311279441645
38,2014-12-01,8555.900391,8579.53174121527,8419.257568449997,8258.983395684723
39,2014-12-02,8524.700195,8589.425194953928,8429.382568449997,8269.339941946066
40,2014-12-03,8537.650391,8599.023833421805,8440.057568449996,8281.091303478188
41,2014-12-04,8564.400391,8612.0088059504,8451.362597749998,8290.716389549596
42,2014-12-05,8538.299805,8617.050217702812,8461.427587999997,8305.804958297182
43,2014-12-08,8438.25,8612.236579124463,8466.127587999998,8320.018596875532
44,2014-12-09,8340.700195,8614.69822843544,8465.030078199998,8315.361927964555
45,2014-12-10,8355.650391,8616.960834234418,8463.6476075,8310.33438076558
46,2014-12-11,8292.900391,8625.451313464362,8460.400146599999,8295.348979735636
47,2014-12-12,8224.099609,8646.175858734452,8452.110107499999,8258.044356265546
48,2014-12-15,8219.599609,8661.728524012504,8441.552587949998,8221.376651887493
49,2014-12-16,8067.600098000001,8700.250307288568,8423.637573299999,8147.024839311429
50,2014-12-17,8029.799805,8733.88640526766,8406.012573299999,8078.138741332337
51,2014-12-18,8159.299805,8739.848305556983,8393.882543999996,8047.916782443009
52,2014-12-19,8225.200195,8732.767075569278,8381.275073299998,8029.783071030717
53,2014-12-22,8324.0,8716.110744781226,8370.967553749997,8025.824362718768
54,2014-12-23,8267.0,8706.427182669,8361.162573299998,8015.897963930996
55,2014-12-24,8174.100098000001,8696.583114580499,8346.080078199997,7995.577041819495
56,2014-12-26,8200.700195,8680.369690150435,8331.405078199998,7982.44046624956
57,2014-12-29,8246.299805,8643.217898175011,8314.307568449996,7985.3972387249805
58,2014-12-30,8248.25,8608.46752826927,8298.925048899997,7989.382569530723
59,2014-12-31,8282.700195,8577.5552458812,8286.825048899997,7996.094851918792
61,2015-01-02,8395.450195,8550.916751042665,8279.715039099998,8008.51332715733
62,2015-01-05,8378.400391,8511.608344303502,8270.415039099997,8029.221733896491
63,2015-01-06,8127.350098000001,8463.403620587818,8249.867553749998,8036.331486912179
64,2015-01-07,8102.100098000001,8436.858867249195,8233.060058649997,8029.2612500507985
65,2015-01-08,8234.599609,8425.180238575913,8227.755029349997,8030.329820124082
