,Date,Price,Signal,Returns%
0,2014-10-21,7927.75,BUY,-0.01999999999999602
1,2014-12-05,8538.299805,SELL,7.658349804294957
2,2014-12-19,8225.200195,BUY,7.636818134334106
3,2015-01-05,8378.400391,SELL,9.619702000562938
4,2015-01-14,8277.549805,BUY,9.597778060162824
5,2015-02-04,8723.700195,SELL,15.481870930698918
6,2015-02-12,8711.549805,BUY,15.458774556512779
7,2015-02-25,8767.25,SELL,16.173759284653528
8,2015-02-27,8844.599609,BUY,16.150524532796595
9,2015-03-09,8756.75,SELL,14.973851891120233
10,2015-04-01,8586.25,BUY,14.950857120742015
11,2015-04-17,8606.0,SELL,15.192222794098655
12,2015-05-15,8262.349609,BUY,15.169184349539833
13,2015-06-01,8433.400391,SELL,17.529956575297376
14,2015-06-17,8091.549805,BUY,17.506450583982314
15,2015-07-24,8521.549805,SELL,23.726211637149376
16,2015-08-04,8516.900391,BUY,23.70146639482195
17,2015-08-11,8462.349609,SELL,22.884576162679295
18,2015-09-15,7829.100098000001,BUY,22.859999247446765
19,2015-10-28,8171.200195,SELL,28.202839983471506
20,2015-11-26,7883.799805,BUY,28.177199415474803
21,2015-12-03,7864.149901999999,SELL,27.832153809973136
22,2015-12-16,7750.899901999999,BUY,27.806587379211138
23,2016-01-04,7791.299805,SELL,28.44705724823052
24,2016-01-28,7424.649901999999,BUY,28.421367836780888
25,2016-02-08,7387.25,SELL,27.748920948697034
26,2016-02-29,6987.049805,BUY,27.7233711645073
27,2016-04-06,7614.350098000001,SELL,39.16259147813645
28,2016-04-12,7708.950195,BUY,39.13475895984084
29,2016-05-02,7805.899901999999,SELL,40.85637596068932
30,2016-05-11,7848.850098000001,BUY,40.828204685497184
31,2016-05-19,7783.399901999999,SELL,39.625932005030506
32,2016-05-24,7748.850098000001,BUY,39.5980068186295
33,2016-06-10,8170.049805,SELL,47.15661671498438
34,2016-06-22,8203.700195,BUY,47.127185391641376
35,2016-09-09,8866.700195,SELL,58.98578761668014
36,2016-09-21,8777.150391,BUY,58.95399045915681
37,2016-09-26,8723.049805,SELL,57.94263525267925
38,2016-11-29,8142.149901999999,BUY,57.91104672562872
39,2016-12-16,8139.450195,SELL,57.82711614384624
40,2016-12-29,8103.600098000001,BUY,57.795550720617484
41,2017-03-24,9108.0,SELL,77.31803373945209
42,2017-03-29,9143.799805,BUY,77.2825701327042
43,2017-04-13,9150.799805,SELL,77.38280444981902
44,2017-04-24,9217.950195,BUY,77.34732788892907
45,2017-05-23,9386.150391,SELL,80.54727288199189
46,2017-05-25,9509.75,BUY,80.51116342741548
47,2017-06-14,9618.150391,SELL,82.53227270915022
48,2017-07-05,9637.599609,BUY,82.49576625460838
49,2017-08-08,9978.549805,SELL,88.91414439488295
50,2017-08-24,9857.049805,BUY,88.876361566004
51,2017-09-21,10121.900391,SELL,93.91251928872606
52,2017-10-05,9888.700195,BUY,93.87373678486833
53,2017-11-07,10350.150391,SELL,102.88015295846657
54,2017-11-22,10342.299805,BUY,102.83957692787487
55,2017-11-29,10361.299805,SELL,103.17157422949978
56,2017-12-08,10265.650391,BUY,103.13093991465388
57,2018-02-01,11016.900391,SELL,117.95265487175052
58,2018-02-23,10491.049805,BUY,117.90906434077618
59,2018-03-05,10358.849609,SELL,115.12010813476607
60,2018-04-02,10211.799805,BUY,115.07708411313911
61,2018-05-17,10682.700195,SELL,124.95001189398889
62,2018-05-30,10614.349609,BUY,124.90502189161009
63,2018-06-26,10769.150391,SELL,128.13942318121434
64,2018-07-05,10749.75,BUY,128.0937952965781
65,2018-09-03,11582.349609,SELL,145.71117545547514
